Name,Food groups,Serving size,Serving Count,Last Updated,Source,Ingredients,Notes - Nutrition summary,Tags,Food,Fat (g),Sat Fat (g),Fiber (g),Sugar (g),Sodium (mg),Protein (g),Iron DV%,Calcium DV%,Company,Entree in meal combo,FS ratio,PS ratio,Related to Sides calculations for rice and scrappy tomato stew (Side page),Side in meal combo,Sides calculations for rice and scrappy tomato stew (Side page),Total Carbs (g),Unit Count,Unit size,Vitamin C DV%,Vitamin D DV%,Magnesium DV%,Zinc DV%,Added Sugar (g),Related to Nutrition Calculator (Food),cost per main property,price per serving,Vitamins and minerals per serving,Storage,Pairs with,Vitamin B1 DV%,Vitamin B12 DV%,Vitamin B2 DV%,Vitamin B3 DV%,Vitamin B5 DV%,Vitamin B6 DV%,Vitamin B7 DV%,Vitamin B9 DV%,Created time,Last edited time,Potassium DV%
Mott's unsweetened applesauce,fruits,1 cup,0,"October 14, 2021 3:41 PM (CDT)","Amazon, CVS, Kroger, Target, Walmart",,,"Accomodation Food, Staple, snacks",https://www.notion.so/Applesauce-f0f82050844a41d293f959af0600d1fd,0,0,2,8,5,0,,,Mott's,,0.5,N/A,,https://www.notion.so/FINISH-Good-rice-lunch-8aa2740691cb4aee832cdced236f90e5,,10,0,package,0,0,,,0,"https://www.notion.so/1-applesauce-pouch-97810a0f8ec44537a0bb180a26720574, https://www.notion.so/2-applesauce-cups-Kroger-use-motts-as-stand-in-72d8d321a9fc4f498a8c768f5b3cdb5e, https://www.notion.so/3-kroger-applesauce-cups-use-palceholder-428bddbd439e4da4a74c08087c38289a",,,,,,,,,,,,,,"September 20, 2021 10:02 AM","July 14, 2022 6:24 PM",
MegaFood Elderberry Immune Support Gummies,,2 gummies,0,"December 13, 2022 3:54 PM (CST)",Thrive Market,,,"Staple, Vitamin & Minerals: Zinc, vitamins - supplements",https://www.notion.so/Vitamin-Gummies-7cb3455ee6014a2688e6f2e10ec4598a,,,,2,,,,,Thrive Market,,N/A,N/A,,,,,0,bottles (28 servings per bottle),0,0,,,,,,,,Pantry,,,,,,,,,,"September 18, 2021 9:46 AM","December 13, 2022 4:54 PM",
[Finished] Kirkland adult multivitamin gummies,,2 gummies,0,"January 1, 2022 7:54 PM",Costco,,,"Staple, Vitamin & Minerals: Vitamin C",https://www.notion.so/Vitamin-Gummies-7cb3455ee6014a2688e6f2e10ec4598a,,,,,,,,,,,N/A,N/A,,,,,0,jars,0,0,,,,,,,,,,,,,,,,,,"September 17, 2021 11:10 PM","April 1, 2022 3:28 PM",
"Aloha Protein Bar, Chocolate Mint",protein,bars,0,"September 17, 2021 7:15 AM (CDT)",Thrive Market,"Protein Blend* (Brown Rice Protein*, Pumpkin Seed Protein*), Tapioca Fiber*, Dark Chocolate* (Chocolate*, Cane Sugar*, Cocoa Butter*), Cashew Butter* (Dry Roasted Cashews*, Sunflower Oil*), Vegetable Glycerin*, Cocoa Powder*, Sunflower Butter*, Cocoa Extract*, Sunflower Lecithin*, Peppermint Oil*. *Organic.",,"Stellar FS Ratio (+3), Stellar PS Ratio (+3), low sodium protein, meal bar, should/must hydrate with liquid",https://www.notion.so/protein-bars-ba3bd4c9d55447fab3524482dce80de6,9,3,10,5,0,14,,,Aloha,,4,N/A,,,,26,,,0,0,,,,,,,,,,,,,,,,,,"September 15, 2021 7:15 PM","April 1, 2022 3:28 PM",
"Aloha Protein Bar, Chocolate Chip Cookie Dough",protein,bars,0,"September 15, 2021 6:10 PM (CDT)",Thrive Market,"Tapioca Fiber*, Brown Rice Protein*, Cashew Butter*, Chocolate Chips* (Cane Sugar*, Chocolate*, Cocoa Butter*, Vanilla Powder*), Sunflower Butter*, Vegetable Glycerin*, Brown Rice Crisps (Brown Rice*, Brown Rice Syrup*, Salt), Cocoa Nibs*, Natural Flavors, Vanilla Extract*, Sea Salt, Sunflower Lecithin*. *Organic.",has cashews. Though not horrible for digestion,"Stellar FS Ratio (+3), Stellar PS Ratio (+3), meal bar",https://www.notion.so/protein-bars-ba3bd4c9d55447fab3524482dce80de6,10,2.5,10,5,80,14,10,2,Aloha,,4,8.05,,,,25,0,bars,0,0,,,5,,,,,Pantry,,,,,,,,,,"September 15, 2021 7:14 PM","November 21, 2022 4:28 AM",2
[UPDATE] Aloha Protein Bar Peanut Butter Chocolate Chip,protein,bars,0,"June 7, 2022 4:04 PM (CDT)",Thrive Market,"""Peanuts*, Tapioca Fiber*, Protein Blend* (Brown Rice Protein*, Pumpkin Seed Protein*), Chocolate Chips* (Cane Sugar*, Chocolate*, Cocoa Butter*, Vanilla Powder*), Tapioca Syrup*, Vegetable Glycerin*, Roasted Pumpkin Seeds*, Sea Salt, Monk Fruit*. *Organic """,,"Staple, Stellar FS Ratio (+3), Stellar PS Ratio (+3), low sodium protein, meal bar, should/must hydrate with liquid",https://www.notion.so/protein-bars-ba3bd4c9d55447fab3524482dce80de6,12,3,10,5,90,14,6,2,Aloha,,4,7.16,,,,24,0,boxes,0,0,,,3,https://www.notion.so/1-aloha-bar-03552f75d2aa4d7bae8f68318ea95a05,"$24.29 ($30.00 reg) per box →
$2.02 ($2.25 reg) per bar → $0.145 ($0.179 reg) per gram of protein",,,,,,,,,,,,,"September 15, 2021 7:13 PM","June 7, 2022 5:03 PM",
dairy pure carton of skim milk,dairy,carton,0,"October 29, 2021 7:13 PM (CDT)",Munchie (Vanderbilt Campus Dining),,,Staple,https://www.notion.so/Milk-2-796e59ae1fa54bf4b897ed5f1c31e320,,,,,,,,,,,N/A,N/A,,,,,0,carton,0,0,,,,,,,,,,,,,,,,,,"September 15, 2021 6:22 PM","April 1, 2022 3:28 PM",
Delicias Colombiana RR Cheesy chicken empanada,,empanada,0,"November 1, 2021",Delicias Colombiana RR,,,"Staple, closed container - plus",https://www.notion.so/Chicken-empanada-47416143b5b34740847cd0dd09063d6c,,,,,,,,,,,N/A,N/A,,,,,0,empanada,0,0,,,,,,,,,,,,,,,,,,"September 15, 2021 2:09 AM","April 1, 2022 3:28 PM",
Michaelengelo's Calzone (Large),,1 calzone,0,"September 29, 2021 12:43 AM (CDT)",Michaelangelo's Pizza,,,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/Calzone-9ac0738e96b9435385935f4161b235c3,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"September 9, 2021 5:48 AM","April 1, 2022 3:28 PM",
Scout wild albacore tuna - fish,protein,1 can (90 g),0,"October 3, 2021 5:46 AM (CDT)",Thrive Market,,,"Thrive Values: Keto, Thrive Values: Paleo, Thrive Values: Whole30, fish, only get on 35%+ sale, too expensive per gram of protein",https://www.notion.so/Canned-tuna-fish-03f389975e6e44d386669545d1b1bd14,27,4,0,0,320,15,4,0,Scout,,N/A,2.16,,https://www.notion.so/FINISH-Good-rice-lunch-8aa2740691cb4aee832cdced236f90e5,,0,,,0,6,,,0,https://www.notion.so/1-can-skipjack-tuna-fish-ALBACORE-FOR-PLACEHOLDER-95919e220f6544e7b74c2ea5cd9011d8,"$4.94 ($5.99 regular, $6.99 retail) per can → 
$0.306 ($0.399 regular, $0.46 retail) per gram of protein",,"Vitamin D (6%), vitamin B12 (x), Choline (x), iron (4%), lutein and zeaxanthin (x) (up to 6 mg recommended), Vitamin B2 (x), Vitamin B5 (x), Vitamin A (x), vitamin E (x), phosphorus (x), folate (x), iodine (x), selenium (x), zinc (x), potassium(4%)",,,,,,,,,,,"September 5, 2021 8:15 AM","October 23, 2022 12:57 AM",
kettle potato chips,,,0,"June 8, 2022 8:09 PM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Staple, snacks",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"September 5, 2021 12:34 AM","June 8, 2022 9:09 PM",
Michaelagelo's mozzarella sticks,,stick,0,"September 10, 2021 5:55 AM (CDT)",Michaelangelo's Pizza,,,"Tastes Of Nashville (TON), favorite - TON, restaurant",https://www.notion.so/Mozzarella-sticks-9847c009c177421a9e95203dd92c9098,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"September 4, 2021 12:51 PM","April 1, 2022 3:28 PM",
"Mamma Chia - Chia Squeeze, Cherry Beet",,pouch,0,"September 3, 2021 6:31 AM (CDT)",Thrive Market,,,"Good FS Ratio (1.5 <= x < 3), Stellar PS Ratio (+3), snacks",https://www.notion.so/Fruit-squeeze-pouch-583bea7614c948f8b7239bf8c9441584,2.5,0,3,6,5,2,,,,,1,18.4,,,,10,,,0,0,,,,,,,,,,,,,,,,,,"September 3, 2021 7:31 AM","April 1, 2022 3:28 PM",
organic valley milk,dairy,8 FL oz carton,0,"March 12, 2022 10:01 PM (CST)",Munchie (Vanderbilt Campus Dining),,,Staple,https://www.notion.so/Milk-2-796e59ae1fa54bf4b897ed5f1c31e320,2.5,1.5,0,12,125,8,0,20,,,0,2.94,,,,12,0,8 FL oz carton,0,15,,,,https://www.notion.so/milk-0d7bbcf1d083436d9d7514fe7353cee6,,,,,,,,,,,,,,"September 3, 2021 7:20 AM","April 1, 2022 3:16 PM",
Harvest snaps dehydrated snap peas - Caesar,vegetables,1 oz (3 servings per bag),0,"October 30, 2021 11:35 PM (CDT)",CVS,,,"Good PS Ratio (1.5 <= x < 3), Staple, Stellar FS Ratio (+3), should/must hydrate with liquid, snacks",https://www.notion.so/Veggie-chip-dehydrated-snack-c746fc1c4e384d229b53fc62845a50df,5,0,4,1,80,5,4,4,,,8,2.88,,"https://www.notion.so/Sun-Fork-meal-3-8cc692c6bf7d49049e304c3c05a65f69, https://www.notion.so/Rice-and-scrappy-tomato-stew-9e50594694894c90839f0527d200ab5d, https://www.notion.so/FINISH-Good-rice-lunch-8aa2740691cb4aee832cdced236f90e5",,16,0,,0,0,,,,,,,,,,,,,,,,,,"September 1, 2021 11:44 PM","April 1, 2022 3:28 PM",
Annie's organic Bernie o's,,,0,"August 27, 2022",Munchie (Vanderbilt Campus Dining),,,"Opening ease: Requires can opener, soup",,,,,,,,,,,,N/A,N/A,,,,,0,,0,0,,,,,,,,,,,,,,,,,,"August 28, 2021 6:33 PM","August 27, 2022 10:37 PM",
Harvest snaps dehydrated snap peas - lightly salted,,1 oz (3 servings per bag),0,"September 26, 2021 8:04 PM (CDT)","CVS, Thrive Market",,,"Staple, snacks",https://www.notion.so/Veggie-chip-dehydrated-snack-c746fc1c4e384d229b53fc62845a50df,5,0,4,0,75,5,,,,,N/A,3.07,,,,16,,,0,0,,,,https://www.notion.so/1-serving-harvest-snaps-b72bf8da7294403b953fd039c0daa1aa,"$1.99 ($2.29 reg) per bag → 
$0.663 ($0.763 reg) per serving → $0.133 ($0.153 reg) per gram of protein",,,,,,,,,,,,,"August 28, 2021 6:31 PM","April 1, 2022 3:28 PM",
[whole pouch] Tasty bite organic couscous & quinoa (nutrition by packet),grains,"POuches two 1 cup (140 g) serving ",0,"August 12, 2022 7:52 PM (CDT)",Munchie (Vanderbilt Campus Dining),,,"Good FS Ratio (1.5 <= x < 3), mediocre PS ratio (0.8 <= x < 1)",,13,4.5,4,4,750,14,10,2,,,2,0.86,,,,86,0,"Pouches ",0,0,,,,https://www.notion.so/cfbab73ce2f34f0d9c6c000591e66227,,,,,,,,,,,,,,"August 28, 2021 4:49 PM","October 23, 2022 11:59 AM",4
Parmesan Truffle Fries,vegetables,1 serving,0,"August 28, 2021 1:31 AM (CDT)",Hopdoddy (TON),,,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/Fries-4235e38d6ac349ae9448312f331b5fc7,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,https://www.notion.so/Chik-fil-a-Fries-using-hopdoddy-as-placeholder-8229a5b1dfc848c881d1e4a9fd1996bf,,,,,,,,,,,,,,"August 28, 2021 2:08 AM","April 1, 2022 3:28 PM",
Hopdoddy Sweet Potato Fries,vegetables,1 fries,0,"August 28, 2021 1:31 AM (CDT)",Hopdoddy (TON),,,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/Fries-4235e38d6ac349ae9448312f331b5fc7,7.64,1.137,3.2,6.34,188,1.83,,,,,1.01,0.45,,,,17.29,,,0,0,,,,,,,,,,,,,,,,,,"August 28, 2021 2:07 AM","September 23, 2022 2:26 AM",
(original) Miss Vickie's kettle cooked potato chips - original,vegetables,1 bag,0,"March 8, 2022 5:44 AM (CST)","Mellow Mushroom (TON), Sun & Fork (owned by FirstWatch) (TON)","Potatoes, vegetable oil sea salt",,"Tastes Of Nashville (TON), favorite - TON, portable, restaurant",https://www.notion.so/Potato-chips-654a8ebf05c14d559d9c55ac0b76f0c9,12,1.5,2,1,125,3,,,,,4,1.1,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 27, 2021 12:34 AM","June 8, 2022 7:56 PM",
Bumble Bee Snack on the run! tuna salad kit with crackers,protein,1 pouch,0,"September 29, 2021 12:45 AM (CDT)",CVS,,"tuna is fine, but crackers have corn syrup",,https://www.notion.so/tuna-salad-Tuna-fish-salad-90d3b266cb2a415897a8646590cc2ec4,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 27, 2021 12:28 AM","April 1, 2022 3:28 PM",
Annie's Organic Bunny Fruit Snacks Summer Strawberry (5-pack of 4-oz pouches),,,0,"December 9, 2021 6:43 PM (CST)",CVS,,,"do not eat, high sugar - not useful, snacks",https://www.notion.so/Fruit-snacks-5b4ba7b425af40de813c2778da33923f,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 27, 2021 12:27 AM","October 27, 2022 10:36 PM",
Mission pride fruit mix,,,0,,USDA Food Boxes,,,,https://www.notion.so/fruit-mix-f420bbc030b94870b81ad015c06f1e45,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 10:28 PM","July 11, 2022 6:16 PM",
Freihoffers whole grain bread,,1 slice,0,"September 29, 2021 12:43 AM (CDT)",,,,has gluten - bad,https://www.notion.so/whole-grain-bread-7fd28479ae73433d9cf0a58613005955,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 10:28 PM","April 1, 2022 3:28 PM",
Annie's Homegrown Real Aged Cheddar Macaroni & Cheese,,1 cup,0,"September 22, 2021 6:19 PM (CDT)",Munchie (Vanderbilt Campus Dining),"Organic posts, tapioca starch, .  ",,"Good FS Ratio (1.5 <= x < 3), mediocre PS ratio (0.8 <= x < 1)",https://www.notion.so/Macaroni-and-cheese-573c57f42a5346179c2e9efb1b57baac,4.5,3,3,3,390,7,,,Annie's,,2,0.83,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 10:25 PM","April 1, 2022 3:28 PM",
Duchess mixed vegetables,,,0,,USDA Food Boxes,,,,https://www.notion.so/Mixed-vegetables-f2679df9e27a4be6820db808f5822864,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 10:05 PM","April 1, 2022 3:28 PM",
Seeds of Change: Certified Organic Quinoa & Brown Rice With Garlic,grains,,0,,,,,Accomodation Food,https://www.notion.so/brown-rice-packets-9aee336c317f42deae0952498d41e774,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,https://www.notion.so/1-serving-seeds-of-change-cfc8b34ceace4e9a9bbdb5984fda4521,,,,,,,,,,,,,,"August 26, 2021 10:04 PM","July 11, 2022 6:18 PM",
Purdue fresh cut Chicken Strips - cooked,,,0,,USDA Food Boxes,,,,https://www.notion.so/chicken-strips-d99391dabcd04111807549d1232cb3a7,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 10:04 PM","April 1, 2022 3:28 PM",
canola oil brand 1,,,0,,,,,,https://www.notion.so/Canola-oil-d7fb87cf0958446eba38d34f18752172,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,"https://www.notion.so/oil-e04870654a964d6e93fa4ac03c72adae, https://www.notion.so/3-4-tbsp-oil-b38e456b4742425ba87986fe2e896f00",,,,,,,,,,,,,,"August 26, 2021 10:04 PM","December 3, 2022 11:34 PM",
Musselman's Unsweetened Applesauce,fruits,1 cup,0,"September 25, 2021 12:57 PM (CDT)",USDA Food Boxes,,,Staple,https://www.notion.so/Applesauce-f0f82050844a41d293f959af0600d1fd,,,,,,,,,Musselman's,,N/A,N/A,,,,,,,0,0,,,,https://www.notion.so/1-banana-480fe8f4dc2e43b8ba73c9cc39445142,,,,,,,,,,,,,,"August 26, 2021 9:55 PM","April 1, 2022 3:28 PM",
planters nutrition heart healthy mix,"protein, vegetables",1 packet,0,"February 15, 2022 11:19 PM (CST)","Munchie (Vanderbilt Campus Dining), Walmart",,,"Staple, Staple: Always Keep Replenished, Stellar FS Ratio (+3), Stellar PS Ratio (+3), low sodium protein, snacks",https://www.notion.so/nuts-37e254f43167465bbb5b3c5084cee45d,23,2.5,4,2,55,9,10,6,Kraft Heinz,,4,7.53,,,,8,,,0,0,,,0,"https://www.notion.so/Planters-05156a9cbcd749718db292708db629d6, https://www.notion.so/1-planters-2c60580de577471cba24a6df709a30a9","$5.18 per box →
$0.74 per packet → $0.082 (8.2 cents) per gram of protein","Walmart: $0.74 per packet
Munchie: X per packet

",,,,,,,,,,,,"August 26, 2021 9:53 PM","April 1, 2022 3:14 PM",
Kind dark chocolate cherry cashew,,1 bar,0,"September 5, 2021 7:15 AM (CDT)","CVS, Munchie (Vanderbilt Campus Dining), Thrive Market",,,"do not eat, snacks",https://www.notion.so/Nut-bars-kind-d2fb31e706174fa3b0acaec030926b85,,,,,,,,,Kind,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 6:19 PM","October 27, 2022 10:42 PM",
Cheerios cups (1.3 oz),,1 cup,0,"September 25, 2021 11:49 AM (CDT)","Amazon, Instacart, Kroger, Munchie (Vanderbilt Campus Dining), Walmart",,,"Accomodation Food, Ok PS Ratio (1 <= x < 1.5), Stellar FS Ratio (+3), breakfast, should/must hydrate with liquid",https://www.notion.so/Cereal-22ea5aa993c54014942bbe8dce25cc47,,,,,,,,,,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 6:19 PM","July 12, 2022 12:36 PM",
kind bar - Caramel almond & sea salt,protein,1 bar,0,"June 28, 2022 6:28 AM (CDT)","CVS, GrubHub, GrubHub - light speed market, Munchie (Vanderbilt Campus Dining), Thrive Market",,"Fat - 15g 19%ats | Sat fat - 3g 15%ats&me | Sodium - 125mg 5%ats&me | *Fiber - 7g (25%ats) | Sugar - 5g 10% | Protein 6g (12%me)
Calcium - ? | Iron - ? | Potassium - ?","Staple, do not eat, snacks",https://www.notion.so/Nut-bars-kind-d2fb31e706174fa3b0acaec030926b85,,,,,,,,,Kind,,N/A,N/A,,,,,,,0,0,,,,https://www.notion.so/0-5-kind-bar-caramel-sea-salt-da465e6dbd36412790c17cd9ed03726b,,,,,,,,,,,,,,"August 26, 2021 6:19 PM","October 27, 2022 10:42 PM",
kind bar - dark chocolate almond coconut,,1 bar,0,"June 28, 2022 6:28 AM (CDT)","CVS, Munchie (Vanderbilt Campus Dining), Thrive Market",,"Fat - 12g 15%ats | Sat fat - 6g 30% | Sodium - 15mg 1ats% | *Fiber - 4g - 14%ats16% | Sugar - 12g 24% | Protein 3g 6%
Calcium - 2% | Iron - 6% | Potassium - 4%","Ok FS Ratio (1 <= x < 1.5), Stellar PS Ratio (+3), do not eat, snacks",https://www.notion.so/Nut-bars-kind-d2fb31e706174fa3b0acaec030926b85,13,7,5,10,25,3,6,2,Kind,,1,5.52,,,,20,0,box,0,0,,,9,"https://www.notion.so/kind-dark-chocolate-coconut-bar-2dacfe312c71471592e09cdb3afd5586, https://www.notion.so/1-kind-coconut-almond-bar-5bf7400bc02c473a8f8d0bec8939f60f",,,,,,,,,,,,,,"August 26, 2021 6:19 PM","October 27, 2022 10:42 PM",
Kind peanut butter dark chocolate,protein,1 bar,0,"June 6, 2022 6:51 PM (CDT)","CVS, GrubHub, GrubHub - light speed market, Munchie (Vanderbilt Campus Dining), Thrive Market",,"Fat - 13 g (19.4%) | Sat fat - 3.5 g (17.5%) | Sodium - 40 mg (1.74%) | Sugar - 9 g (18%) | Protein - 8 g (16%)
Calcium - ? | Iron - ? | Potassium - ?",snacks,https://www.notion.so/Nut-bars-kind-d2fb31e706174fa3b0acaec030926b85,13,3.5,,9,40,8,,,Kind,,N/A,9.2,,,,,0,,0,0,,,,https://www.notion.so/1-kind-peanut-butter-dark-chocolate-bar-860042c86dfc48558c4a3783bd27169d,,,,,,,,,,,,,,"August 26, 2021 6:19 PM","June 6, 2022 7:51 PM",
Kind bars - Blueberry Almond Pecan,,1 bar,0,"August 28, 2021 1:34 AM (CDT)","CVS, Munchie (Vanderbilt Campus Dining)",,"Fat - 11 g 14% ats (19.4%) | Sat fat - 4 g (20%) | Sodium - 15 mg (1%) | Fiber 5g - 18% | Sugar - 10 g (20%) | Protein - 4 g (8%)
Calcium - ? | Iron - ? | Potassium - ?","do not eat, snacks",https://www.notion.so/Nut-bars-kind-d2fb31e706174fa3b0acaec030926b85,,,,,,,,,Kind,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 6:19 PM","October 27, 2022 10:38 PM",
Brads Crunchy Kale Chips Nacho 2 oz,vegetables,1/2 bag,0,"December 19, 2021 1:09 AM (CST)","CVS, Kroger",,,"Hot water cook-able, Ok PS Ratio (1 <= x < 1.5), Staple, Stellar FS Ratio (+3), should/must hydrate with liquid, snacks","https://www.notion.so/spinach-snack-980cc3ecd70c470daeb6ff1e2e8725c7, https://www.notion.so/Veggie-chip-dehydrated-snack-c746fc1c4e384d229b53fc62845a50df",6,0.5,2,1,120,3,,,,,4,1.15,,"https://www.notion.so/Sun-Fork-meal-3-8cc692c6bf7d49049e304c3c05a65f69, https://www.notion.so/FINISH-Good-rice-lunch-8aa2740691cb4aee832cdced236f90e5, https://www.notion.so/Korma-Kale-PB-Pasta-Lunch-Dinner-129981856c844db692e3861008313cb7",,6,2,1 bag,0,0,,,,https://www.notion.so/kale-chips-7fabdd94381f4cfea88f9f9aceddb8d3,,,,,,,,,,,,,,"August 26, 2021 6:19 PM","October 27, 2022 10:34 PM",
Kind bar - dark chocolate nuts & sea salt,protein,1 bar (40 g),0,"January 20, 2022 3:39 AM (CST)","CVS, GrubHub, GrubHub - light speed market, Munchie (Vanderbilt Campus Dining), Thrive Market",,Fat - 15g 19% | Sat fat - 3g 15% | Sodium - 140mg 6% | *Fiber - 7g - 25%ats 28% | Sugar - 5g 10% | Protein 6g 12%,"Good FS Ratio (1.5 <= x < 3), Good PS Ratio (1.5 <= x < 3), Staple, Thrive Values: Non-GMO, snacks",https://www.notion.so/Nut-bars-kind-d2fb31e706174fa3b0acaec030926b85,15,3,7,5,140,6,4,6,Kind,,2.8,1.97,,https://www.notion.so/Breakfast-oatmeal-v1-79606138f75540fb9da8c5094b0641ee,,16,0,1 box,0,0,,,4,"https://www.notion.so/kind-bar-b0685191e9b14e3ea3af4956f5a3b6c0, https://www.notion.so/kind-bars-5dd7707225294d4c9e5968ef8ebd91a6, https://www.notion.so/1-kind-bar-dark-chocolate-nut-e65c78e47cb74ed8978879279d3ec2f7, https://www.notion.so/1-dark-chocolate-kind-bar-6790f939f0ce4b9f869aa2cd1f73924e","$13.94 per box →
$1.16 per bar → $0.1660 per gram of protein","Thrive: 
[old price pre-inflation: 13.94 per box per 16 oz jar on normal day]

stop and shop:
$10 (according to mom)",,,,,,,,,,,,"August 26, 2021 5:54 PM","April 1, 2022 3:28 PM",
kind bar - Maple glazed pecan & sea salt,,1 bar,0,"September 5, 2021 7:15 AM (CDT)","CVS, Munchie (Vanderbilt Campus Dining), Thrive Market",,"Fat - 17g 22% | Sat fat - 1.5g 8% | Sodium - 140mg 6% | Fiber - 5g (18%) | Sugar - 5g 8%ats | Protein 5g 10% |
Calcium - ? | Iron - ? | Potassium - ?",snacks,https://www.notion.so/Nut-bars-kind-d2fb31e706174fa3b0acaec030926b85,,,,,,,,,Kind,,N/A,N/A,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:54 PM","April 1, 2022 3:28 PM",
Chomps organic beef stick - mild,,1 stick,0,"August 26, 2021 5:25 PM (CDT)","Kroger, Thrive Market","grass fed &. finished beef, water, sea salt, encapsulated lactic acid, cultured celery powder (celery powder, sea salt), black pepper, red pepper, garlic powder, coriander, stuffed in a beef collagen casing",Fat - 6g 8%ats | Sat fat - 2.5g 13%ats | Sodium - 290mg 13%ats | *Fiber - 0g - 0% | Sugar - 0g 0% | Protein 9g D%,snacks,https://www.notion.so/Meat-Sticks-7dcabfada31340a79785987df8d3d888,6,2.5,0,0,290,9,,,,,N/A,1.43,,,,,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:54 PM","July 14, 2022 6:25 PM",
Avocado Toast,"grains, vegetables",1 serving (100 g),0,"August 28, 2021 12:35 AM (CDT)",Sun & Fork (owned by FirstWatch) (TON),,,"Tastes Of Nashville (TON), restaurant",,42,9,,8,1200,23,,,,,N/A,0.88,,,,48,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Power Wrap,"protein, vegetables",1 wrap,0,"September 29, 2021 9:48 PM (CDT)",Sun & Fork (owned by FirstWatch) (TON),"Egg whites, turkey, spinach, house-roasted Crimini mushrooms and Mozzarella in a sun-dried tomato basil tortilla. Served with a side of pico de gallo.",,"Ok PS Ratio (1 <= x < 1.5), Staple, Tastes Of Nashville (TON), restaurant",https://www.notion.so/wrap-e6d3f9c65a904ca687af98df422ac8ed,13,5,6,20,1380,39,,,,"https://www.notion.so/Sun-Fork-meal-1-dfd1af01a93447a5962551e365b80116, https://www.notion.so/Sun-Fork-meal-2-b82db5961ab54684b4dfb1d7d03bf0f1, https://www.notion.so/Sun-Fork-meal-3-8cc692c6bf7d49049e304c3c05a65f69",0.6,1.3,,,,82,,,0,0,,,,"https://www.notion.so/power-wrap-sun-fork-c928f0fa08ae44dc87b69a2b156112e4, https://www.notion.so/1-full-power-wrap-0991260669dc4f05b929914c815557ef",,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Thunderbird,"grains, protein",1 burger,0,"August 28, 2021 1:31 AM (CDT)",Hopdoddy (TON),,,"Tastes Of Nashville (TON), restaurant",,38,,,,,55,,,,,N/A,N/A,,,,50,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
Ahi Tuna Burger (feeling - dont get),"grains, protein",1 burger,0,"August 28, 2021 1:31 AM (CDT)",Hopdoddy (TON),,,"Tastes Of Nashville (TON), restaurant",https://www.notion.so/burger-d6114330dbbc411dac9a23e53d23a1b6,14,,,9,1713,63,,,,,N/A,1.69,,,,45,,,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","April 1, 2022 3:28 PM",
RX Bar (blueberry),"fruits, protein",1 bar,0,"June 28, 2022 6:29 AM (CDT)",,,,"Poor FS Ratio (<0.8), Staple, Stellar PS Ratio (+3), do not eat, low sodium, low sodium protein, snacks",https://www.notion.so/Fruit-and-nut-bars-ce368df756214db58cfe37e46ac1e98d,4,1,4,15,140,12,,,,,0.53,3.94,,,,24,0,1 bar,0,0,,,,,,,,,,,,,,,,,,"August 26, 2021 5:50 PM","October 27, 2022 10:38 PM",
